"id","email","code","purpose","expires_at","created_at"
"3898dd23-adab-4740-ad7c-f06f97ea16d5","tracker_user_1785578074230@example.com","888087","VERIFY_EMAIL","2026-08-01T10:04:34.343Z","2026-08-01T09:54:34.336Z"
"e8fa3ed5-d32a-4246-9e37-a4f47c0a1be8","tracker_user_1785578087984@example.com","536553","VERIFY_EMAIL","2026-08-01T10:04:48.064Z","2026-08-01T09:54:48.062Z"
"219faf41-4d61-4b23-b2e3-df148bd91774","tracker_user_1785578105136@example.com","228242","VERIFY_EMAIL","2026-08-01T10:05:05.217Z","2026-08-01T09:55:05.215Z"
"c07bcdfa-4183-44a7-ac17-044b8fa16404","tracker_user_1785578133339@example.com","572192","VERIFY_EMAIL","2026-08-01T10:05:33.441Z","2026-08-01T09:55:33.438Z"
"b9e4e858-6ac3-4505-9bc1-1effe212b138","cloudinary_user_1785580680152@example.com","894110","VERIFY_EMAIL","2026-08-01T10:48:00.253Z","2026-08-01T10:38:00.244Z"
"c0629c60-3833-47ce-9123-556f2505cde9","cloudinary_user_1785580695519@example.com","166820","VERIFY_EMAIL","2026-08-01T10:48:15.601Z","2026-08-01T10:38:15.599Z"
"df526b28-2d65-43f1-bff1-357b0b81bc87","biodata_user_1785581315930@example.com","768791","VERIFY_EMAIL","2026-08-01T10:58:36.025Z","2026-08-01T10:48:36.021Z"
"6749919e-f3ff-4e28-9512-246b13ddd5a7","biodata_user_1785581347705@example.com","476177","VERIFY_EMAIL","2026-08-01T10:59:07.790Z","2026-08-01T10:49:07.788Z"
"2db47809-0dee-42cd-9fa1-f083910efd0a","cat_user_1785583982534@example.com","327753","VERIFY_EMAIL","2026-08-01T11:43:02.640Z","2026-08-01T11:33:02.632Z"
"98416c82-8196-4ef2-ac4a-b66ca5b18003","feature_test_1785611354956@example.com","918340","VERIFY_EMAIL","2026-08-01T19:19:15.142Z","2026-08-01T19:09:15.136Z"
